order_id,customer,amount,order_date
1,David,581,2024-07-12
2,Charlie,658,2024-09-08
3,David,547,2024-01-29
4,Alice,723,2024-12-30
5,David,677,2024-10-16
6,David,578,2024-04-02
7,David,126,2024-09-17
8,Bob,552,2024-06-29
9,Charlie,998,2024-12-18
10,Alice,783,2024-06-02
11,Alice,994,2024-11-01
12,David,89,2024-04-17
13,Bob,965,2024-08-31
14,David,812,2024-12-28
15,David,731,2024-05-02
16,Charlie,569,2024-04-27
17,Charlie,822,2024-03-06
18,Alice,433,2024-04-04
19,Alice,464,2024-04-21
20,Bob,942,2024-09-28
21,David,966,2024-02-13
22,Charlie,513,2024-11-05
23,Alice,741,2024-05-28
24,Charlie,794,2024-04-14
25,David,193,2024-01-21
26,David,284,2024-04-28
27,David,616,2024-12-25
28,David,92,2024-11-26
29,Bob,160,2024-09-13
30,Alice,779,2024-06-05
31,Alice,796,2024-02-18
32,Alice,143,2024-04-05
33,Bob,194,2024-08-21
34,Charlie,646,2024-12-26
35,David,308,2024-11-05
36,Charlie,567,2024-10-02
37,Alice,748,2024-05-20
38,Bob,622,2024-04-18
39,Charlie,783,2024-01-18
40,Bob,946,2024-08-04
41,Charlie,262,2024-12-27
42,David,856,2024-06-06
43,Alice,233,2024-12-30
44,Bob,780,2024-08-18
45,Alice,296,2024-12-08
46,Alice,881,2024-06-22
47,Charlie,744,2024-09-12
48,Charlie,304,2024-10-23
49,Charlie,507,2024-08-23
50,Bob,211,2024-02-25
51,Charlie,820,2024-10-22
52,Alice,88,2024-11-16
53,Bob,599,2024-07-08
54,Alice,500,2024-09-18
55,Bob,794,2024-02-13
56,Charlie,662,2024-10-31
57,David,620,2024-01-25
58,Alice,767,2024-04-03
59,David,908,2024-08-21
60,David,57,2024-05-31
61,Bob,298,2024-10-26
62,Charlie,546,2024-04-15
63,Alice,485,2024-10-18
64,Bob,626,2024-05-02
65,Bob,932,2024-02-02
66,Charlie,216,2024-12-03
67,Bob,558,2024-03-20
68,Alice,934,2024-12-01
69,Charlie,918,2024-09-02
70,Charlie,223,2024-02-16
71,Charlie,520,2024-06-03
72,David,728,2024-06-13
73,Alice,471,2024-05-21
74,David,690,2024-06-07
75,Alice,543,2024-03-22
76,Alice,921,2024-12-15
77,Charlie,739,2024-06-09
78,Charlie,562,2024-09-25
79,Charlie,491,2024-04-17
80,Alice,392,2024-05-21
81,David,770,2024-07-02
82,Charlie,407,2024-01-04
83,Bob,454,2024-01-06
84,Charlie,865,2024-05-07
85,Alice,447,2024-08-22
86,Charlie,828,2024-12-17
87,David,953,2024-06-29
88,Alice,225,2024-04-18
89,Charlie,465,2024-01-18
90,Charlie,205,2024-06-08
91,David,447,2024-11-25
92,Alice,555,2024-05-14
93,Bob,799,2024-01-06
94,Charlie,928,2024-07-10
95,Alice,583,2024-06-01
96,Alice,595,2024-04-11
97,Alice,335,2024-02-27
98,Bob,492,2024-04-27
99,Bob,353,2024-08-25
100,Bob,839,2024-06-06
101,Alice,224,2024-10-14
102,Charlie,240,2024-12-28
103,Alice,62,2024-01-30
104,Alice,565,2024-02-15
105,Charlie,880,2024-10-17
106,Alice,845,2024-03-27
107,Bob,946,2024-12-22
108,Alice,59,2024-04-05
109,David,627,2024-03-23
110,David,256,2024-01-13
111,David,808,2024-09-22
112,Charlie,218,2024-12-31
113,David,660,2024-03-01
114,David,440,2024-08-09
115,Bob,569,2024-09-30
116,Bob,733,2024-01-30
117,Bob,577,2024-08-21
118,David,652,2024-04-17
119,Charlie,651,2024-10-11
120,David,251,2024-04-16
121,Bob,982,2024-10-18
122,Charlie,754,2024-08-22
123,Alice,91,2024-05-26
124,Charlie,650,2024-08-07
125,Bob,473,2024-01-28
126,Alice,626,2024-11-22
127,Alice,826,2024-07-18
128,Alice,319,2024-06-08
129,Bob,390,2024-04-14
130,Alice,657,2024-08-23
131,Alice,86,2024-11-14
132,Alice,335,2024-04-18
133,Alice,351,2024-03-19
134,Charlie,650,2024-11-16
135,David,677,2024-10-09
136,David,209,2024-11-07
137,Charlie,537,2024-07-29
138,Alice,663,2024-08-05
139,Bob,563,2024-02-18
140,David,916,2024-07-26
141,David,430,2024-08-10
142,Charlie,880,2024-09-07
143,Alice,488,2024-08-25
144,David,233,2024-05-03
145,Charlie,722,2024-10-22
146,Bob,358,2024-12-06
147,Charlie,382,2024-11-15
148,Bob,89,2024-11-07
149,Bob,901,2024-08-28
150,Bob,449,2024-08-14
151,Charlie,894,2024-11-10
152,Charlie,686,2024-09-10
153,Charlie,343,2024-02-28
154,Bob,1000,2024-03-01
155,Bob,661,2024-11-21
156,David,906,2024-12-29
157,Charlie,233,2024-08-09
158,Charlie,917,2024-10-11
159,Alice,250,2024-05-29
160,David,67,2024-12-11
161,Alice,59,2024-10-08
162,Charlie,184,2024-01-26
163,David,452,2024-01-11
164,Alice,528,2024-12-10
165,Charlie,955,2024-01-01
166,Charlie,827,2024-10-03
167,David,980,2024-12-25
168,Alice,600,2024-06-23
169,David,348,2024-10-20
170,Bob,551,2024-04-07
171,Bob,294,2024-07-01
172,Bob,440,2024-07-03
173,Bob,163,2024-07-16
174,Charlie,919,2024-06-30
175,Alice,904,2024-08-03
176,Alice,873,2024-08-23
177,Bob,724,2024-05-16
178,David,239,2024-03-20
179,Charlie,674,2024-03-16
180,Charlie,872,2024-05-23
181,Alice,841,2024-01-31
182,Alice,601,2024-06-06
183,Charlie,478,2024-07-23
184,David,962,2024-10-16
185,Alice,152,2024-02-10
186,Bob,586,2024-09-08
187,David,504,2024-11-26
188,Charlie,575,2024-01-27
189,Alice,704,2024-07-13
190,David,451,2024-04-13
191,David,554,2024-06-08
192,Alice,222,2024-06-08
193,Charlie,204,2024-05-20
194,Alice,423,2024-10-29
195,Charlie,862,2024-12-15
196,Alice,630,2024-09-08
197,David,916,2024-09-24
198,Bob,445,2024-08-28
199,Bob,347,2024-04-24
200,Bob,539,2024-05-25
201,Bob,495,2024-07-05
202,Charlie,679,2024-06-23
203,David,109,2024-11-26
204,Bob,875,2024-04-01
205,David,436,2024-06-11
206,Bob,56,2024-11-19
207,Alice,587,2024-10-08
208,Bob,231,2024-05-25
209,Alice,439,2024-11-20
210,Bob,722,2024-06-12
211,Charlie,89,2024-01-09
212,Charlie,931,2024-04-22
213,Alice,965,2024-05-21
214,Alice,276,2024-02-23
215,David,107,2024-09-11
216,David,733,2024-03-29
217,Bob,656,2024-11-30
218,Charlie,783,2024-04-09
219,David,303,2024-01-02
220,David,516,2024-04-19
221,Bob,101,2024-01-08
222,Charlie,618,2024-02-25
223,Bob,143,2024-06-26
224,Alice,195,2024-01-20
225,Alice,109,2024-06-11
226,David,242,2024-01-09
227,Charlie,597,2024-10-27
228,Bob,544,2024-10-23
229,Bob,329,2024-05-24
230,Alice,889,2024-10-06
231,Alice,243,2024-03-27
232,Alice,852,2024-09-30
233,Alice,442,2024-01-26
234,Alice,711,2024-08-13
235,David,851,2024-03-25
236,David,336,2024-07-26
237,David,716,2024-08-06
238,Bob,376,2024-10-22
239,Charlie,565,2024-08-30
240,Alice,610,2024-08-11
241,Bob,451,2024-06-20
242,Charlie,454,2024-12-24
243,David,139,2024-05-31
244,Bob,404,2024-03-27
245,David,311,2024-10-10
246,Bob,707,2024-02-04
247,David,239,2024-06-24
248,Bob,660,2024-03-21
249,Bob,356,2024-09-14
250,Bob,926,2024-12-29
251,David,801,2024-06-15
252,David,186,2024-11-17
253,David,881,2024-05-07
254,Charlie,707,2024-05-12
255,Charlie,637,2024-01-20
